NumeroPontos L3  L3 
64 9212.5215  12667.3748 
128 9508.6943  12550.1148 
200 7949.0271  12945.0067 
256 10393.7667  12108.5428 
512 8369.3494  12653.9509 
600 7895.1387  9483.9808 
800 8649.2630  13795.8531 
1024 11815.0582  11995.6319 
2000 9147.1046  12570.0932 
3000 12307.1266  11906.2384 
4096 9701.9944  13983.5129 
6000 10659.2863  10705.9938 
7000 9466.4414  13494.9750 
10000 10457.9958  13615.7530 
50000 11266.1634  12737.0081 
100000 9727.3010  12915.6338 
1000000 9448.4704  12524.8374 
10000000 9323.0760  13442.8893 
